Movie_id,Title,Rating,TotalVotes,MetaCritic,Budget,Runtime,Release Year,genre,Domestic,Worldwide,TotalRevenue
36809,12 Years a Slave,8.1,496092,96.0,20000000.0,134,2013,Biography|Drama|History,56671993,187733202.0,244405195.0
30114,127 Hours,7.6,297075,82.0,18000000.0,94,2010,Adventure|Biography|Drama,18335230,60738797.0,79074027.0
37367,50/50,7.7,283935,72.0,8000000.0,100,2011,Comedy|Drama|Romance,35014192,39187783.0,74201975.0
49473,About Time,7.8,225412,0.0,12000000.0,123,2013,Comedy|Drama|Fantasy,15322921,87100449.0,102423370.0
14867,Amour,7.9,76121,94.0,8900000.0,127,2012,Drama|Romance|Unknown,6739492,19839492.0,26578984.0
33832,Argo,7.7,486840,86.0,44500000.0,120,2012,Action|Biography|Drama,136025503,232325503.0,368351006.0
31722,Arrival,8.0,370842,81.0,47000000.0,116,2016,Drama|Mystery|Sci-Fi,100546139,203388186.0,303934325.0
25398,Before Midnight,7.9,106553,94.0,3000000.0,109,2013,Drama|Romance|Unknown,8114627,11176469.0,19291096.0
10099,Big Hero 6,7.8,315485,74.0,165000000.0,0,2014,Animation|Action|Adventure,222527828,657818612.0,880346440.0
25281,Birdman or (The Unexpected Virtue of Ignorance),7.8,448725,88.0,18000000.0,119,2014,Comedy|Drama|Unknown,42340598,103215094.0,145555692.0
43358,Black Swan,8.0,587893,79.0,13000000.0,108,2010,Drama|Thriller|Unknown,106954678,329398046.0,436352724.0
36798,Boyhood,7.9,290327,100.0,4000000.0,165,2014,Drama|Unknown,25352281,44495281.0,69847562.0
10617,Bridge of Spies,7.6,223756,81.0,40000000.0,142,2015,Drama|History|Thriller,72313754,165478348.0,237792102.0
49590,Captain America: Civil War,7.9,431555,75.0,250000000.0,147,2016,Action|Adventure|Sci-Fi,408084349,1153304495.0,1561388844.0
12560,Captain America: The Winter Soldier,7.8,552706,70.0,170000000.0,136,2014,Action|Adventure|Sci-Fi,259766572,714264267.0,974030839.0
31370,Captain Fantastic,7.9,115194,72.0,5000000.0,0,2016,Comedy|Drama|Unknown,5879736,5879736.0,11759472.0
48626,Captain Phillips,7.8,350818,83.0,55000000.0,134,2013,Biography|Drama|Thriller,107100855,218791811.0,325892666.0
38131,Creed,7.6,179795,82.0,35000000.0,133,2015,Drama|Sport|Unknown,109767581,173567581.0,283335162.0
34191,Dallas Buyers Club,8.0,357641,84.0,5000000.0,117,2013,Biography|Drama|Unknown,27298285,55198285.0,82496570.0
20341,Dawn of the Planet of the Apes,7.6,349646,79.0,170000000.0,130,2014,Action|Adventure|Drama,208545589,710644566.0,919190155.0
18506,Deadpool,8.0,652127,65.0,58000000.0,108,2016,Action|Adventure|Comedy,363070709,783112979.0,1146183688.0
38960,Despicable Me,7.7,417592,72.0,69000000.0,0,2010,Animation|Adventure|Comedy,251513985,543113985.0,794627970.0
43526,Detachment,7.7,62352,0.0,0.0,0,2011,Drama|Unknown,72689,72689.0,145378.0
10015,Disconnect,7.6,65448,64.0,10000000.0,115,2012,Drama|Thriller|Unknown,1436900,1436900.0,2873800.0
11971,Django Unchained,8.4,1056822,81.0,100000000.0,165,2012,Drama|Western|Unknown,162805434,425368238.0,588173672.0
31332,Doctor Strange,7.6,328932,72.0,165000000.0,115,2016,Action|Adventure|Fantasy,232641920,677718395.0,910360315.0
22607,Drive,7.8,467642,78.0,15000000.0,100,2011,Crime|Drama|Unknown,35060689,76175166.0,111235855.0
33884,Edge of Tomorrow,7.9,480513,71.0,178000000.0,113,2014,Action|Adventure|Sci-Fi,100206256,370541256.0,470747512.0
21508,End of Watch,7.7,194675,68.0,7000000.0,109,2012,Crime|Drama|Thriller,41003371,48126384.0,89129755.0
30161,Ex Machina,7.7,348550,78.0,15000000.0,108,2014,Drama|Mystery|Sci-Fi,25442958,36869414.0,62312372.0
49518,Flipped,7.7,66461,0.0,14000000.0,0,2010,Comedy|Drama|Romance,1755212,1755212.0,3510424.0
12164,Fury,7.6,337571,64.0,68000000.0,134,2014,Action|Drama|War,85817906,211817906.0,297635812.0
13277,Gone Girl,8.1,649474,79.0,61000000.0,149,2014,Crime|Drama|Mystery,167767189,369330363.0,537097552.0
30401,Gravity,7.8,630890,96.0,100000000.0,91,2013,Drama|Sci-Fi|Thriller,274092705,723192705.0,997285410.0
11289,Guardians of the Galaxy,8.1,778220,76.0,170000000.0,121,2014,Action|Adventure|Sci-Fi,333176600,773328629.0,1106505229.0
47403,Hacksaw Ridge,8.2,244314,71.0,40000000.0,139,2016,Biography|Drama|History,67209615,175302354.0,242511969.0
